Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2022-01-01 00:30:00,26.0,15.79,,5.01,30.0,0.89,18.94,62.71,0.2,1.36,0.0,96.24
2022-01-01 01:30:00,34.0,13.97,,5.08,21.0,0.84,18.99,113.02,0.2,0.83,0.0,96.92
2022-01-01 02:30:00,38.0,11.82,,4.83,17.0,0.76,18.97,113.1,0.0,0.6,0.0,97.31
2022-01-01 03:30:00,36.0,11.07,,6.08,12.0,0.66,19.11,88.85,0.2,1.03,0.0,97.46
2022-01-01 04:30:00,34.0,14.15,,5.15,13.0,0.69,19.05,88.08,0.2,1.04,0.0,97.43
2022-01-01 05:30:00,22.0,12.28,,6.13,11.0,0.59,19.17,95.99,0.0,0.68,7.23,97.51
2022-01-01 06:30:00,18.0,9.59,,7.19,6.0,0.53,19.5,86.3,1.4,1.28,43.88,96.78
2022-01-01 07:30:00,18.0,10.3,,6.71,5.0,0.54,19.4,52.17,2.4,1.64,54.38,96.34
2022-01-01 08:30:00,21.0,7.24,,5.84,5.0,,19.54,39.49,0.0,1.15,146.29,94.21
2022-01-01 09:30:00,21.0,5.45,,5.59,4.0,,19.86,57.35,0.2,2.11,158.44,91.05
2022-01-01 10:30:00,12.0,7.62,,3.86,3.0,,20.55,63.65,0.2,1.64,210.1,88.57
2022-01-01 11:30:00,18.0,9.89,,3.53,1.0,,20.89,55.01,0.4,1.16,139.77,88.57
2022-01-01 12:30:00,22.0,9.79,,4.6,5.0,,21.43,62.3,0.8,1.3,133.4,87.93
2022-01-01 13:30:00,30.0,10.16,,3.39,10.0,,20.99,94.82,3.4,0.63,223.03,92.42
2022-01-01 14:30:00,34.0,7.25,,2.78,10.0,,21.33,83.22,0.8,1.48,202.75,89.41
2022-01-01 15:30:00,28.0,5.72,,4.36,9.0,,21.29,124.92,0.2,1.24,218.05,89.0
2022-01-01 16:30:00,25.0,7.82,,3.6,9.0,,20.97,154.31,0.4,0.74,124.66,88.49
2022-01-01 17:30:00,13.0,8.03,,2.13,5.0,,21.4,128.05,0.2,0.66,71.16,85.92
2022-01-01 18:30:00,10.0,12.34,,3.4,5.0,,20.43,99.35,0.6,1.16,5.17,90.43
2022-01-01 19:30:00,12.0,10.72,,4.23,6.0,,19.55,148.0,2.4,0.62,0.0,95.15
2022-01-01 20:30:00,10.0,11.72,,2.82,6.0,,19.59,132.12,0.0,0.57,0.0,96.0
2022-01-01 21:30:00,6.0,15.04,,3.72,5.0,,20.03,90.59,0.0,1.0,0.0,91.52
2022-01-01 22:30:00,8.0,14.6,,3.46,6.0,,19.82,71.86,0.6,2.24,0.0,92.84
2022-01-01 23:30:00,12.0,8.18,,2.2,4.0,,19.2,68.78,2.6,2.33,0.0,94.73
2022-01-02 00:30:00,12.0,7.93,,2.1,3.0,,18.94,79.93,2.2,1.61,0.0,96.56
2022-01-02 01:30:00,14.0,5.5,,1.85,2.0,,18.72,104.23,0.8,0.85,0.0,98.07
2022-01-02 02:30:00,12.0,3.94,,2.03,,,18.52,112.65,0.2,0.67,0.0,98.37
2022-01-02 03:30:00,8.0,3.69,,1.39,,,18.32,116.37,0.0,0.55,0.0,97.96
2022-01-02 04:30:00,5.0,5.56,,2.09,6.0,,18.44,90.97,0.2,0.72,0.0,96.99
2022-01-02 05:30:00,3.0,7.82,,1.94,6.0,,18.59,112.72,0.0,0.24,8.76,95.89
2022-01-02 06:30:00,3.0,9.37,,0.85,2.0,,19.21,97.71,0.0,0.7,85.12,93.66
2022-01-02 07:30:00,3.0,8.31,,0.73,2.0,,20.4,96.85,0.0,0.79,134.74,89.22
2022-01-02 08:30:00,2.0,5.77,,0.61,3.0,,21.29,96.62,0.2,0.84,233.83,85.08
2022-01-02 09:30:00,2.0,5.48,,0.72,2.0,,22.36,83.89,0.0,1.38,427.26,78.99
2022-01-02 10:30:00,2.0,6.36,,0.97,1.0,,23.16,71.09,0.0,1.76,565.36,75.89
2022-01-02 11:30:00,1.0,6.65,,0.56,,,22.79,59.85,0.2,1.69,596.24,82.04
2022-01-02 12:30:00,,6.69,,0.47,,,24.61,59.95,0.0,1.73,635.22,71.15
2022-01-02 13:30:00,,7.38,,1.18,1.0,,25.26,83.59,0.0,1.61,535.3,68.59
2022-01-02 14:30:00,,6.13,,0.44,3.0,,25.39,74.76,0.2,1.76,315.37,67.76
2022-01-02 15:30:00,7.0,8.27,,0.52,4.0,,24.46,12.5,0.0,0.82,395.26,77.5
2022-01-02 16:30:00,11.0,7.13,,1.03,2.0,,25.49,79.49,0.0,1.81,252.51,67.19
2022-01-02 17:30:00,18.0,8.2,,1.32,6.0,,22.63,78.29,0.0,1.81,75.21,79.65
2022-01-02 18:30:00,31.0,10.6,,0.59,5.0,,21.79,92.64,0.2,0.85,9.89,88.13
2022-01-02 19:30:00,32.0,7.03,,1.03,,,21.3,155.71,0.0,0.75,0.0,86.71
2022-01-02 20:30:00,26.0,6.28,,0.35,1.0,,20.98,153.63,0.0,0.75,0.0,87.44
2022-01-02 21:30:00,25.0,9.11,,1.13,3.0,,20.86,92.77,0.0,0.64,0.0,88.97
2022-01-02 22:30:00,22.0,8.22,,0.79,4.0,,20.96,99.87,0.6,0.93,0.0,88.92
2022-01-02 23:30:00,19.0,6.35,,1.41,6.0,,20.45,88.18,1.8,1.03,0.0,93.17
2022-01-03 00:30:00,18.0,7.62,,0.76,3.0,,20.29,97.19,1.4,0.68,0.0,94.89
2022-01-03 01:30:00,19.0,5.65,,0.35,1.0,,20.23,111.59,0.2,0.56,0.0,95.39
2022-01-03 02:30:00,18.0,5.9,,0.42,1.0,,19.55,305.09,2.4,0.83,0.0,95.79
2022-01-03 03:30:00,10.0,7.45,,0.21,4.0,,19.04,311.47,6.0,0.61,0.0,97.29
2022-01-03 04:30:00,10.0,7.41,,0.81,2.0,,18.81,306.47,4.8,0.88,0.0,98.03
2022-01-03 05:30:00,11.0,6.19,,0.55,,,18.64,170.66,0.8,0.21,0.55,98.51
2022-01-03 06:30:00,9.0,4.67,,0.39,1.0,,18.95,152.05,0.4,0.17,26.6,98.59
2022-01-03 07:30:00,23.0,16.46,,1.03,23.0,,19.96,88.12,0.0,0.11,67.68,98.24
2022-01-03 08:30:00,55.0,16.52,,0.54,6.0,1.03,20.8,54.08,0.0,0.35,191.48,97.08
2022-01-03 09:30:00,47.0,15.75,,0.94,6.0,0.89,21.07,71.57,0.4,1.31,196.66,93.38
2022-01-03 10:30:00,24.0,14.3,,0.57,6.0,0.81,21.25,59.78,0.8,1.53,175.88,90.66
2022-01-03 11:30:00,13.0,11.5,,1.79,3.0,0.74,22.38,74.6,0.0,1.34,477.43,86.6
2022-01-03 12:30:00,7.0,9.45,,1.81,3.0,0.64,24.23,75.4,0.0,1.56,676.92,76.41
2022-01-03 13:30:00,3.0,13.06,,1.52,6.0,0.57,24.29,73.24,0.0,1.8,367.76,76.34
