Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-02 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,26.3,Samp<,Samp<,Samp<,,,,,,,
2010-01-02 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,27.1,2.2,8.8,7,,,,,,,
2010-01-02 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,0,Alarm,24.4,1.2,6.8,5.8,,,,,,,
2010-01-02 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,10,0,Alarm,23.3,Samp<,Samp<,Samp<,,,,,,,
2010-01-03 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,23,1.8,7.2,5.8,,,,,,,
2010-01-03 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,23.8,1.2,5.2,4.2,,,,,,,
2010-01-03 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,21.6,1.5,4.5,3.8,,,,,,,
2010-01-03 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,19.1,2,5.5,4,,,,,,,
2010-01-03 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,17.5,1.2,6.2,5.2,,,,,,,
2010-01-03 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,11.8,3,12.2,9.5,,,,,,,
2010-01-03 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,14.6,3.8,11.5,7.8,,,,,,,
2010-01-03 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,11,0,Alarm,20.5,1.5,5,3.8,,,,,,,
2010-01-03 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,0,Alarm,23.8,2.2,6.2,4.2,,,,,,,
2010-01-03 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,29.3,2.2,6.8,4.8,,,,,,,
2010-01-03 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,34,2.2,7.5,5.5,,,,,,,
2010-01-03 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,InVld,38.8,2.2,7.8,6,,,,,,,
2010-01-03 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,1,0,Alarm,39,1.2,6.2,5.2,,,,,,,
2010-01-03 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,36.8,0.8,5.8,5.8,,,,,,,
2010-01-03 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,39,1,6.3,5.3,,,,,,,
2010-01-03 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,1,0,Alarm,39.8,2,9.8,8,,,,,,,
2010-01-03 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,0,0,Alarm,40,2.2,10.5,8.2,,,,,,,
2010-01-03 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,0,0,Alarm,38,1.5,7,5.8,,,,,,,
2010-01-03 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,0,0,Alarm,29.3,1.5,8.8,7.2,,,,,,,
2010-01-03 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,0,0,Alarm,22.6,1.5,14.8,13.5,,,,,,,
2010-01-03 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,0,0,Alarm,27.3,Samp<,Samp<,Samp<,,,,,,,
