Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2020-01-01 00:30:00,73.93,10.76,20.06,0.26,16.0,0.5,22.48,71.17,0.0,3.1,0.06,66.95
2020-01-01 01:30:00,,10.8,16.67,0.31,3.0,0.52,22.09,72.28,0.0,2.77,0.06,67.55
2020-01-01 02:30:00,,9.32,15.84,0.25,3.0,0.45,21.77,73.6,0.0,2.61,0.08,68.98
2020-01-01 03:30:00,,13.3,12.89,0.89,5.0,0.44,21.4,71.0,0.0,2.53,0.17,70.98
2020-01-01 04:30:00,,7.0,14.81,0.63,6.0,0.42,20.96,69.1,0.0,2.79,0.1,74.52
2020-01-01 05:30:00,,8.73,13.21,0.31,4.0,0.41,20.45,82.79,0.0,1.94,12.56,77.93
2020-01-01 06:30:00,,6.36,13.58,0.3,4.0,0.4,21.5,81.1,0.0,1.62,114.32,74.96
2020-01-01 07:30:00,,5.46,14.57,0.37,2.0,0.41,23.18,79.2,0.0,1.2,273.41,69.26
2020-01-01 08:30:00,,6.89,18.0,0.66,,0.46,25.28,73.87,0.0,0.93,544.66,61.35
2020-01-01 09:30:00,,6.69,21.85,1.34,,0.23,27.47,19.44,0.0,0.98,748.79,54.01
2020-01-01 10:30:00,,6.7,28.96,1.4,,,28.36,324.06,0.0,1.22,745.26,52.43
2020-01-01 11:30:00,,7.19,33.04,1.41,1.0,,28.77,311.66,0.0,0.91,571.17,52.18
2020-01-01 12:30:00,,9.0,,1.67,4.0,,29.73,321.85,0.0,1.01,686.96,49.27
2020-01-01 13:30:00,,11.01,,1.2,3.0,,30.27,300.64,0.0,1.04,556.36,46.23
2020-01-01 14:30:00,,6.34,,1.17,2.0,,31.11,287.75,0.0,1.56,870.98,42.54
2020-01-01 15:30:00,,7.1,,1.58,4.0,,32.21,266.03,0.0,1.1,290.85,40.01
2020-01-01 16:30:00,,5.75,,1.93,5.0,,32.44,254.81,0.0,0.75,333.24,39.94
2020-01-01 17:30:00,,16.41,,1.56,5.0,,30.61,284.13,0.0,1.28,131.33,43.93
