Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2021-01-01 00:30:00,26.0,5.88,20.63,3.82,15.0,0.43,24.07,80.24,0.0,0.75,1.25,73.05
2021-01-01 01:30:00,28.0,6.62,20.28,3.75,8.0,0.45,23.44,75.31,0.0,0.79,0.19,74.22
2021-01-01 02:30:00,30.0,6.32,19.59,4.1,7.0,0.44,23.08,75.24,0.0,0.65,0.57,74.18
2021-01-01 03:30:00,19.0,6.61,19.63,3.74,20.0,0.39,22.56,82.29,0.0,0.53,0.02,75.18
2021-01-01 04:30:00,18.0,6.08,20.51,4.07,6.0,0.32,22.22,78.08,0.0,0.55,0.09,74.58
2021-01-01 05:30:00,9.0,4.8,19.49,3.65,4.0,0.28,21.92,80.59,0.0,0.59,11.55,74.25
2021-01-01 06:30:00,22.0,6.06,17.86,3.57,3.0,0.26,23.91,74.85,0.0,1.13,128.49,65.91
2021-01-01 07:30:00,11.0,4.95,23.13,3.49,2.0,0.3,25.64,85.34,0.0,0.79,272.85,59.88
2021-01-01 08:30:00,8.0,4.94,27.64,2.77,1.0,0.42,28.06,88.99,0.0,0.56,579.18,53.56
2021-01-01 09:30:00,5.0,4.39,34.96,3.03,1.0,0.44,28.95,166.32,0.0,0.69,621.86,49.46
2021-01-01 10:30:00,3.0,5.58,40.43,3.66,,0.34,30.44,280.98,0.0,0.84,857.45,45.43
2021-01-01 11:30:00,3.0,5.27,44.69,4.1,6.0,0.34,30.8,275.77,0.0,0.87,733.56,44.36
2021-01-01 12:30:00,3.0,6.17,47.53,3.09,6.0,0.48,32.27,271.0,0.0,0.93,1009.14,41.03
2021-01-01 13:30:00,3.0,6.29,38.43,5.13,4.0,0.18,33.53,279.11,0.0,1.11,883.43,37.81
2021-01-01 14:30:00,3.0,5.7,32.28,6.45,1.0,0.59,31.87,276.46,0.0,0.68,376.76,44.16
2021-01-01 15:30:00,3.0,3.46,34.75,6.37,1.0,0.54,32.92,256.41,0.0,0.61,527.27,42.23
2021-01-01 16:30:00,10.0,4.6,35.19,5.83,1.0,0.51,30.41,65.93,0.0,1.65,418.73,44.92
2021-01-01 17:30:00,8.0,7.06,40.92,4.27,4.0,0.25,25.54,85.97,0.0,1.16,32.44,58.46
2021-01-01 18:30:00,5.0,8.6,43.9,3.32,11.0,0.41,22.52,271.35,9.0,3.63,3.21,73.53
2021-01-01 19:30:00,54.0,6.79,40.0,3.71,6.0,0.31,19.3,114.47,3.6,0.5,3.91,93.18
2021-01-01 20:30:00,32.0,3.99,32.05,4.15,3.0,0.25,19.32,175.95,7.2,0.65,4.0,93.7
2021-01-01 21:30:00,27.0,4.19,30.24,4.45,2.0,0.25,19.28,82.88,2.4,0.9,3.88,93.32
2021-01-01 22:30:00,15.0,4.04,34.08,5.41,,0.26,19.48,75.94,0.0,0.55,3.77,83.95
2021-01-01 23:30:00,8.0,4.69,27.74,4.11,,0.27,19.32,198.12,0.0,0.59,3.1,88.0
2021-01-02 00:30:00,6.0,4.34,27.58,2.25,,0.5,19.47,120.05,0.0,0.24,2.02,82.01
2021-01-02 01:30:00,4.0,4.79,25.05,1.88,,0.48,19.58,77.56,0.0,1.63,2.76,86.78
2021-01-02 02:30:00,10.0,6.37,22.71,1.99,,0.48,19.17,110.13,0.0,0.62,,90.78
2021-01-02 03:30:00,7.0,4.77,17.03,2.4,,0.47,19.07,176.29,0.0,0.12,,91.92
2021-01-02 04:30:00,5.0,6.08,14.21,2.32,,0.48,19.2,81.35,0.0,0.6,,91.84
