Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2018-01-01 00:30:00,47.62,7.88,16.62,0.37,,0.45,21.45,339.78,0.0,0.37,1.19,86.7
2018-01-01 01:30:00,32.08,8.81,15.73,0.23,16.0,0.46,21.44,339.91,0.0,0.53,2.19,84.96
2018-01-01 02:30:00,35.94,6.95,14.67,0.35,10.0,0.33,21.36,53.64,0.0,0.41,2.57,84.69
2018-01-01 03:30:00,20.09,6.18,14.99,0.27,9.0,0.3,20.75,90.17,0.0,0.8,2.68,88.43
2018-01-01 04:30:00,20.01,6.5,13.2,0.4,12.0,0.33,20.85,99.62,0.0,0.72,2.09,87.9
2018-01-01 05:30:00,21.72,7.21,7.35,0.1,12.0,0.35,21.1,167.94,0.0,0.15,9.28,89.01
2018-01-01 06:30:00,33.93,9.18,5.72,0.26,16.0,0.47,21.94,167.61,0.0,0.15,66.9,86.45
2018-01-01 07:30:00,37.51,6.58,13.94,0.17,11.0,0.36,23.38,197.21,0.0,0.32,198.94,79.99
2018-01-01 08:30:00,20.56,4.48,25.57,0.47,8.0,0.33,24.4,258.03,0.0,0.69,291.87,72.78
2018-01-01 09:30:00,13.53,5.06,33.9,0.53,3.0,0.34,25.65,283.05,0.0,1.74,611.77,67.77
2018-01-01 10:30:00,8.32,4.41,37.19,0.94,,0.48,27.05,276.13,0.0,1.1,597.3,63.76
2018-01-01 11:30:00,27.27,4.26,40.55,1.23,3.0,0.54,28.83,278.39,0.0,2.05,842.94,56.62
2018-01-01 12:30:00,36.85,4.46,41.81,1.3,4.0,0.51,29.31,286.15,0.0,3.02,724.24,50.73
2018-01-01 13:30:00,24.27,4.17,45.52,1.36,3.0,0.43,29.26,276.32,0.0,3.39,565.6,49.14
2018-01-01 14:30:00,17.49,4.35,36.4,1.63,4.0,0.46,29.17,265.17,0.0,2.65,495.96,50.56
2018-01-01 15:30:00,27.08,3.27,33.75,1.56,2.0,0.42,28.53,193.65,0.0,1.15,223.06,60.81
2018-01-01 16:30:00,13.55,3.36,35.68,1.29,,0.46,28.85,230.21,0.0,0.76,250.39,57.12
2018-01-01 17:30:00,9.16,4.36,35.82,1.11,1.0,0.43,29.22,242.82,0.0,0.51,167.01,53.35
2018-01-01 18:30:00,4.71,5.36,25.29,1.0,2.0,0.25,26.41,243.29,0.0,0.36,8.38,60.54
2018-01-01 19:30:00,,9.37,18.17,0.86,,0.34,24.62,281.82,0.0,0.67,0.07,68.38
2018-01-01 20:30:00,,6.73,12.73,0.65,,0.32,23.42,144.63,0.0,0.47,0.37,75.45
