Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2015-01-01 00:30:00,19.0,28.59,42.85,0.0,,0.5,24.17,92.23,0.0,1.18,2.52,67.5
2015-01-01 01:30:00,26.0,25.54,47.78,0.0,,0.53,24.36,77.2,0.0,1.87,1.72,65.8
2015-01-01 02:30:00,14.0,25.12,44.05,0.02,,0.6,23.99,68.54,0.0,2.92,1.91,67.75
2015-01-01 03:30:00,9.0,16.99,44.59,0.0,,,23.46,74.1,0.0,2.89,1.96,70.38
2015-01-01 04:30:00,24.0,17.54,44.31,0.0,,,23.12,71.08,0.0,1.66,1.82,71.25
2015-01-01 05:30:00,15.0,20.43,40.53,0.04,,0.65,22.69,68.43,0.0,1.41,17.61,73.6
2015-01-01 06:30:00,10.0,14.02,46.55,0.02,,0.66,24.16,74.34,0.0,2.16,220.84,67.69
2015-01-01 07:30:00,13.0,10.08,54.07,0.0,,0.76,25.86,69.86,0.0,2.45,502.24,61.4
2015-01-01 08:30:00,18.0,15.89,61.87,0.01,,0.82,27.81,51.65,0.0,1.85,822.75,54.64
2015-01-01 09:30:00,9.0,14.8,70.45,0.0,,0.7,29.07,12.91,0.0,1.56,1107.32,50.01
2015-01-01 10:30:00,7.0,13.8,81.17,0.0,,0.73,30.01,358.1,0.0,1.44,1200.64,47.89
2015-01-01 11:30:00,10.0,13.5,81.18,0.0,,0.76,31.9,290.13,0.0,1.25,1290.1,43.51
2015-01-01 12:30:00,8.0,15.57,78.75,0.0,,0.82,32.75,270.57,0.0,1.28,811.9,41.17
2015-01-01 13:30:00,6.0,14.21,78.0,0.0,,0.91,31.69,268.57,0.0,1.3,413.31,43.41
2015-01-01 14:30:00,13.0,14.78,70.16,0.0,,0.91,32.35,255.95,0.0,1.07,692.1,42.33
2015-01-01 15:30:00,20.0,16.9,66.17,0.0,,0.93,32.11,258.41,0.0,1.29,315.75,42.54
2015-01-01 16:30:00,11.0,18.67,59.51,0.01,,1.02,29.75,208.48,0.0,1.13,75.31,49.69
2015-01-01 17:30:00,15.0,20.68,58.41,0.03,,1.17,26.01,84.93,0.0,1.63,7.27,65.78
