Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2018-01-01 00:30:00,40.79,1.68,20.06,,11.0,0.36,22.03,145.6,0.0,0.42,0.17,85.43
2018-01-01 01:30:00,33.36,2.24,10.93,,11.0,0.44,21.53,128.11,0.0,0.64,1.41,88.7
2018-01-01 02:30:00,29.16,2.15,13.15,,10.0,0.35,21.59,144.18,0.0,1.02,1.91,87.05
2018-01-01 03:30:00,16.67,2.08,7.2,,9.0,0.43,21.25,121.46,0.0,0.72,1.97,89.18
2018-01-01 04:30:00,23.26,2.21,4.35,,8.0,0.58,21.07,143.22,0.0,0.49,1.91,90.91
2018-01-01 05:30:00,15.32,2.24,3.1,,14.0,0.53,21.12,144.52,0.0,0.41,10.08,91.76
2018-01-01 06:30:00,23.23,2.03,3.41,,18.0,0.57,22.04,116.56,0.0,0.69,67.13,90.31
2018-01-01 07:30:00,29.21,3.11,10.07,,17.0,0.55,24.17,144.95,0.0,1.13,187.15,78.3
2018-01-01 08:30:00,31.86,1.83,25.45,,6.0,0.34,24.87,241.39,0.0,1.58,268.83,69.92
2018-01-01 09:30:00,21.83,1.2,30.33,,4.0,0.3,26.28,273.25,0.0,2.8,604.45,63.78
2018-01-01 10:30:00,12.33,1.06,33.81,,4.0,0.27,27.96,267.05,0.0,2.57,796.95,58.22
2018-01-01 11:30:00,6.51,1.14,34.53,,3.0,0.24,28.91,287.79,0.0,2.94,686.49,53.25
2018-01-01 12:30:00,3.83,1.45,33.45,,3.0,0.21,29.76,290.74,0.0,4.37,806.58,47.72
2018-01-01 13:30:00,2.97,1.15,33.83,,2.0,0.19,30.39,288.96,0.0,4.6,902.08,43.83
2018-01-01 14:30:00,3.21,0.82,35.88,,,0.16,30.3,268.3,0.0,4.03,666.44,45.23
2018-01-01 15:30:00,,0.8,32.86,,,0.22,29.26,214.63,0.0,1.99,432.25,54.32
2018-01-01 16:30:00,,1.0,34.88,,,0.18,29.46,204.08,0.0,1.57,247.75,51.6
2018-01-01 17:30:00,,1.35,34.83,,,0.2,28.8,230.63,0.0,0.94,140.78,52.98
2018-01-01 18:30:00,,3.42,28.35,,,0.27,26.93,256.1,0.0,0.85,9.68,59.28
2018-01-01 19:30:00,,6.22,23.43,,,0.26,25.07,182.95,0.0,0.97,0.05,66.49
2018-01-01 20:30:00,10.04,3.96,11.36,,6.0,0.36,23.45,125.36,0.0,0.99,0.77,76.99
2018-01-01 21:30:00,15.19,3.75,5.1,,6.0,0.45,22.72,126.31,0.0,0.48,0.86,82.61
2018-01-01 22:30:00,25.18,6.19,3.85,,17.0,0.53,23.63,175.35,0.0,0.6,2.35,75.99
2018-01-01 23:30:00,36.31,4.46,2.83,,9.0,0.57,23.06,112.5,0.0,0.56,1.85,81.49
2018-01-02 00:30:00,37.02,4.78,2.44,,7.0,0.54,22.93,109.14,0.0,0.72,2.4,82.95
2018-01-02 01:30:00,,2.06,15.45,,,0.37,23.03,288.76,0.0,3.12,2.55,80.82
2018-01-02 02:30:00,20.15,0.81,22.64,,5.0,0.35,22.35,247.35,0.0,1.23,1.14,82.49
2018-01-02 03:30:00,10.43,0.79,19.03,,3.0,0.36,21.86,182.35,0.0,0.82,1.22,87.1
2018-01-02 04:30:00,9.78,1.02,10.96,,,0.38,21.43,145.1,0.0,0.43,1.62,91.13
2018-01-02 05:30:00,6.74,2.56,5.43,,,0.44,21.37,287.66,0.0,0.59,8.92,92.05
2018-01-02 06:30:00,11.0,2.88,12.24,,,0.46,21.87,261.58,0.0,2.08,53.83,87.36
2018-01-02 07:30:00,9.98,2.15,19.32,,,0.45,22.54,282.94,0.0,1.7,161.89,80.76
2018-01-02 08:30:00,6.2,2.08,20.05,,,0.42,23.2,287.4,0.0,1.43,181.35,76.49
2018-01-02 09:30:00,3.24,2.02,20.89,,3.0,0.43,24.32,273.91,0.0,1.5,274.87,73.24
2018-01-02 10:30:00,9.93,1.38,27.5,,2.0,0.42,26.05,271.98,0.0,1.84,652.11,66.57
2018-01-02 11:30:00,5.43,1.2,36.56,,2.0,0.38,27.54,278.46,0.0,2.67,648.56,58.63
2018-01-02 12:30:00,6.61,1.3,39.72,,3.0,0.43,28.53,273.47,0.0,2.36,618.77,55.9
2018-01-02 13:30:00,16.73,1.81,36.33,0.1,3.0,0.43,29.99,285.69,0.0,2.89,865.61,52.37
2018-01-02 14:30:00,8.46,1.64,33.6,0.1,,0.42,30.05,284.1,0.0,2.55,532.42,51.76
2018-01-02 15:30:00,4.85,1.48,34.2,0.1,3.0,0.4,30.64,289.43,0.0,2.17,544.04,49.71
2018-01-02 16:30:00,9.53,1.96,36.06,0.3,4.0,0.43,31.08,283.09,0.0,2.75,425.7,48.63
2018-01-02 17:30:00,8.59,1.98,35.32,0.3,4.0,0.4,29.66,278.58,0.0,2.85,87.2,49.95
2018-01-02 18:30:00,4.35,3.7,31.56,0.3,3.0,0.39,27.99,273.93,0.0,2.32,5.79,53.37
2018-01-02 19:30:00,13.54,5.19,26.51,0.3,5.0,0.43,26.82,268.99,0.0,1.56,0.27,57.63
2018-01-02 20:30:00,13.48,3.76,15.46,0.1,10.0,0.5,24.87,157.73,0.0,0.61,0.68,69.31
2018-01-02 21:30:00,13.02,4.26,5.81,0.0,9.0,0.53,24.28,131.4,0.0,0.47,2.37,76.78
2018-01-02 22:30:00,26.45,4.03,5.18,0.0,,0.58,24.41,134.61,0.0,0.63,1.97,78.14
2018-01-02 23:30:00,21.3,2.81,3.77,0.1,6.0,0.51,23.89,131.67,0.0,0.13,1.81,82.67
2018-01-03 00:30:00,30.18,1.6,19.22,0.0,4.0,0.38,21.65,282.99,4.2,2.87,3.2,86.44
2018-01-03 01:30:00,21.79,1.78,18.89,0.0,,0.33,20.7,54.79,0.4,0.85,3.02,92.07
2018-01-03 02:30:00,19.11,2.42,16.29,,1.0,0.29,20.76,10.52,0.2,1.05,3.14,91.69
2018-01-03 03:30:00,12.0,2.98,14.74,0.0,5.0,0.3,20.95,276.55,0.0,0.52,3.22,90.72
2018-01-03 04:30:00,12.15,2.21,14.97,0.0,3.0,0.31,20.98,355.66,0.0,0.72,3.41,90.94
2018-01-03 05:30:00,7.62,3.8,11.07,0.0,5.0,0.37,21.23,30.59,0.0,0.57,8.53,91.39
2018-01-03 06:30:00,13.08,3.57,16.99,0.0,5.0,0.36,21.67,246.39,0.0,1.27,55.36,88.48
2018-01-03 07:30:00,16.59,2.19,20.56,0.0,3.0,0.36,22.51,237.73,0.0,1.21,171.86,83.81
2018-01-03 08:30:00,12.85,3.08,18.24,0.0,10.0,0.37,23.35,295.27,0.0,2.39,193.29,78.3
2018-01-03 09:30:00,11.45,1.65,22.3,0.0,7.0,0.36,25.08,272.12,0.0,2.19,652.99,71.16
2018-01-03 10:30:00,12.65,1.02,27.34,0.0,4.0,0.33,27.23,266.21,0.0,2.19,810.32,62.14
2018-01-03 11:30:00,8.6,0.75,26.89,0.1,2.0,0.33,28.4,246.04,0.0,2.55,804.62,57.63
2018-01-03 12:30:00,5.29,1.04,28.38,0.2,1.0,0.35,28.86,277.92,0.0,2.96,520.6,55.75
2018-01-03 13:30:00,4.35,1.86,28.69,0.7,,0.31,29.94,293.6,0.0,3.83,818.59,51.03
