Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2021-01-01 00:30:00,55.0,9.55,13.0,0.5,27.0,0.52,24.63,109.39,0.0,0.53,4.39,74.29
2021-01-01 01:30:00,29.0,8.66,13.0,0.8,13.0,0.54,24.74,111.74,0.0,1.67,3.85,68.89
2021-01-01 02:30:00,19.0,7.22,13.0,0.9,9.0,0.37,24.57,115.07,0.0,1.71,3.83,67.93
2021-01-01 03:30:00,19.0,7.15,12.0,0.8,6.0,0.31,23.72,133.43,0.0,0.58,4.41,71.21
2021-01-01 04:30:00,40.0,7.57,7.0,0.6,4.0,0.33,22.21,186.01,0.0,0.22,4.48,79.72
2021-01-01 05:30:00,23.0,7.23,4.0,0.2,6.0,0.34,21.1,133.37,0.0,0.09,15.06,87.16
2021-01-01 06:30:00,44.0,6.36,4.0,0.5,8.0,0.36,22.64,119.98,0.0,0.18,165.22,81.86
2021-01-01 07:30:00,25.0,6.48,11.0,1.2,5.0,0.26,27.15,49.95,0.0,1.1,376.91,54.86
2021-01-01 08:30:00,12.0,5.9,19.0,0.5,5.0,0.22,28.41,339.16,0.0,1.37,635.72,50.58
2021-01-01 09:30:00,6.0,5.73,24.0,1.1,5.0,0.22,29.31,315.93,0.0,1.53,740.61,47.39
2021-01-01 10:30:00,5.0,6.91,29.0,10.4,4.0,0.23,30.93,317.74,0.0,1.59,795.82,43.02
2021-01-01 11:30:00,4.0,7.89,34.0,14.8,6.0,0.25,31.28,96.47,0.0,1.34,697.03,42.22
2021-01-01 12:30:00,4.0,7.99,31.0,23.9,6.0,0.27,32.03,288.95,0.0,2.01,802.19,40.76
2021-01-01 13:30:00,4.0,5.94,27.0,9.6,6.0,0.36,33.59,280.98,0.0,2.51,1051.43,36.94
2021-01-01 14:30:00,5.0,5.73,26.0,4.1,5.0,0.45,32.49,255.63,0.0,2.08,577.25,40.53
2021-01-01 15:30:00,3.0,5.76,25.0,3.6,3.0,0.46,32.65,198.68,0.0,1.9,592.97,40.35
2021-01-01 16:30:00,2.0,6.06,25.0,3.0,2.0,0.46,31.76,114.35,0.0,2.69,494.04,40.45
2021-01-01 17:30:00,2.0,6.95,29.0,3.4,4.0,0.49,27.04,76.4,0.0,1.92,41.37,54.25
2021-01-01 18:30:00,19.0,8.17,30.0,3.0,12.0,0.4,22.78,292.91,22.8,4.41,11.1,78.74
2021-01-01 19:30:00,91.0,7.98,24.0,1.9,8.0,0.33,20.28,111.01,1.8,1.44,4.73,100.0
2021-01-01 20:30:00,62.0,6.42,21.0,1.1,6.0,0.28,20.34,109.47,6.2,1.41,4.81,100.0
2021-01-01 21:30:00,41.0,7.4,19.0,0.3,2.0,0.28,20.2,133.33,1.6,2.12,4.73,99.98
2021-01-01 22:30:00,22.0,6.62,20.0,0.4,,0.27,19.95,164.96,0.0,0.83,4.75,97.8
2021-01-01 23:30:00,12.0,6.04,13.0,0.2,,0.22,19.88,150.46,0.0,0.66,4.6,97.67
2021-01-02 00:30:00,9.0,6.28,9.0,0.1,1.0,0.32,19.82,123.71,0.0,0.37,4.49,99.62
2021-01-02 01:30:00,6.0,6.6,7.0,0.0,2.0,0.39,19.81,9.38,0.0,0.81,4.34,98.67
2021-01-02 02:30:00,3.0,6.74,10.0,0.0,3.0,0.36,20.1,188.38,0.0,0.48,4.52,92.84
2021-01-02 03:30:00,2.0,6.41,4.0,0.0,4.0,0.36,19.76,110.69,0.0,0.18,4.39,97.48
2021-01-02 04:30:00,3.0,6.21,3.0,0.1,4.0,0.37,19.81,170.13,0.0,0.21,4.28,99.91
2021-01-02 05:30:00,4.0,6.47,6.0,0.1,3.0,0.36,19.86,166.97,0.0,0.54,6.95,95.46
