Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2019-01-01 00:30:00,57.71,25.62,4.76,1.1,33.0,0.73,22.16,352.88,0.0,0.68,0.87,87.06
2019-01-01 01:30:00,72.52,18.33,5.28,1.4,20.0,0.8,21.63,359.93,0.0,0.52,1.19,88.54
2019-01-01 02:30:00,51.52,15.81,7.32,1.5,10.0,0.63,21.69,4.24,0.0,0.8,3.49,88.85
2019-01-01 03:30:00,34.02,15.12,13.3,1.5,7.0,0.47,22.23,36.85,0.0,1.62,2.15,83.53
2019-01-01 04:30:00,21.72,12.74,14.7,1.3,3.0,0.39,21.83,29.36,0.0,1.87,0.83,86.04
2019-01-01 05:30:00,29.82,6.03,21.75,1.1,1.0,0.33,21.26,21.59,2.0,2.17,4.08,89.33
2019-01-01 06:30:00,16.01,3.25,27.52,1.3,2.0,0.32,20.67,36.61,2.4,1.29,39.07,93.28
2019-01-01 07:30:00,20.74,5.25,27.21,0.9,4.0,0.34,21.5,13.14,0.0,1.01,140.27,91.96
2019-01-01 08:30:00,11.59,4.18,29.56,0.6,4.0,0.33,22.27,16.28,0.0,2.04,157.16,85.36
2019-01-01 09:30:00,6.39,4.67,29.9,1.0,1.0,0.35,22.74,22.0,0.0,1.54,216.34,82.91
2019-01-01 10:30:00,8.61,4.19,34.42,1.1,3.0,0.38,25.76,37.58,0.0,1.99,703.78,69.27
2019-01-01 11:30:00,4.92,3.89,41.22,1.0,3.0,0.37,27.22,28.75,0.0,1.86,665.39,62.95
2019-01-01 12:30:00,3.77,9.22,41.22,1.5,,0.41,23.92,299.36,10.0,2.17,144.14,79.95
2019-01-01 13:30:00,13.01,2.74,31.56,1.4,6.0,0.51,22.17,143.88,1.2,1.56,170.85,90.68
2019-01-01 14:30:00,13.65,5.64,27.16,1.2,7.0,0.54,25.58,140.14,0.0,1.5,784.41,75.39
2019-01-01 15:30:00,20.06,5.84,37.95,6.1,8.0,0.5,27.85,302.52,0.0,1.6,664.67,62.79
2019-01-01 16:30:00,10.79,4.14,36.15,7.2,5.0,0.44,28.05,354.79,0.0,1.55,275.71,59.95
2019-01-01 17:30:00,5.57,10.31,36.95,4.0,,0.5,26.69,27.54,0.0,1.59,64.31,65.57
2019-01-01 18:30:00,13.5,17.08,32.23,3.2,6.0,0.55,25.24,56.06,0.0,1.6,9.08,71.43
2019-01-01 19:30:00,22.24,24.34,18.65,2.6,6.0,0.56,24.07,45.23,0.0,0.88,0.22,76.08
2019-01-01 20:30:00,12.2,28.33,7.02,2.1,,0.7,22.49,3.29,0.0,0.39,0.21,85.43
2019-01-01 21:30:00,32.57,21.92,3.18,2.0,13.0,0.8,21.55,26.83,0.0,0.62,1.02,91.5
2019-01-01 22:30:00,27.21,18.92,2.51,1.6,16.0,0.8,21.33,30.95,0.0,0.51,1.51,93.48
2019-01-01 23:30:00,30.99,25.94,2.7,1.0,6.0,0.69,21.63,82.91,0.0,1.06,0.96,92.89
2019-01-02 00:30:00,24.96,21.68,8.39,0.0,5.0,0.38,21.82,82.62,0.0,1.43,0.18,88.21
2019-01-02 01:30:00,15.92,12.29,9.31,0.0,7.0,0.4,21.4,354.57,0.0,0.53,0.38,87.69
