Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,Partículas Totais (µg/m3),PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Benzeno (ppb),Tolueno (ppb),Etil Benzeno (ppb),Para e Meta Xileno (ppb),Orto Xileno (ppb),Data.1,Hora.1,Média Horária
2012-01-01 01:00:00,1.2,139.8,19.9,94.8,,,,,,29.0,1.4,0.2,5.5,2.0,6.8,4.8,2.2,2.2,0.1,,,,,,2011-12-31,18:00:00,0.3
2012-01-01 02:00:00,0.9,213.7,19.8,97.0,,,,,,15.0,2.9,0.1,5.0,2.2,7.0,4.2,2.3,2.2,0.1,,,,,,2011-12-31,19:00:00,0.4
2012-01-01 03:00:00,1.2,179.1,20.3,96.7,,,,,,10.0,2.4,0.1,5.0,2.2,6.5,4.2,2.2,2.2,0.1,,,,,,2011-12-31,20:00:00,0.5
2012-01-01 04:00:00,2.5,126.8,20.1,96.4,,,,,,14.0,2.0,0.0,5.8,3.0,7.0,4.0,2.2,2.2,0.0,,,,,,2011-12-31,21:00:00,0.5
2012-01-01 05:00:00,1.7,103.5,19.6,95.9,,,,,,8.0,0.0,0.0,9.2,2.0,4.5,2.5,2.2,2.1,0.1,,,,,,2011-12-31,22:00:00,0.6
2012-01-01 06:00:00,1.2,140.1,19.7,96.5,,,,,,5.0,0.0,0.0,9.2,2.0,4.5,2.0,2.1,2.1,0.0,,,,,,2011-12-31,23:00:00,0.9
2012-01-01 07:00:00,2.3,123.5,19.9,95.4,,,,,,5.0,0.6,0.0,9.8,2.0,4.2,2.2,2.2,2.2,0.0,,,,,,2011-12-31,00:00:00,0.7
2012-01-01 08:00:00,2.0,111.2,19.9,95.5,,,,,,5.0,0.0,0.0,11.2,2.2,4.0,1.8,2.1,2.1,0.0,,,,,,,,
2012-01-01 09:00:00,1.6,95.5,19.6,96.3,,,,,,10.0,0.1,0.0,10.5,2.0,4.8,2.2,2.1,2.1,0.0,,,,,,,,
2012-01-01 10:00:00,3.5,101.0,19.9,95.5,,,,,,7.0,0.0,0.0,11.5,2.0,4.0,1.8,2.1,2.1,0.0,,,,,,,,
