Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,Partículas Totais (µg/m3),PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Benzeno (ppb),Tolueno (ppb),Etil Benzeno (ppb),Para e Meta Xileno (ppb),Orto Xileno (ppb),Data.1,Hora.1,Média Horária
2011-01-01 01:00:00,2.5,186.3,18.3,87.1,,,,,,3,0,0.3,16.5,3,9,7.5,,,,,,,,,2010-12-31,18:00:00,0.2
2011-01-01 02:00:00,2.3,193.5,18,89.1,,,,,,10.2,0,0.3,16.8,2.8,7.2,6.2,,,,,,,,,2010-12-31,19:00:00,0.3
2011-01-01 03:00:00,2,193.3,18,89.9,,,,,,8.8,0,0.2,17,2.5,7.8,7,,,,,,,,,2010-12-31,20:00:00,0.4
2011-01-01 04:00:00,1.8,199,18,90.7,,,,,,14.5,0,0.2,16.8,2.5,8,6.8,,,,,,,,,2010-12-31,21:00:00,0.3
2011-01-01 05:00:00,1.5,189.8,18,90.9,,,,,,15.8,0,0.2,17.2,2.8,7,6.2,,,,,,,,,2010-12-31,22:00:00,0.4
2011-01-01 06:00:00,2,192.5,18,91.2,,,,,,17.5,0,0.2,17,3.2,8.5,6.5,,,,,,,,,2010-12-31,23:00:00,0.4
2011-01-01 07:00:00,1.9,177.5,17.9,91,,,,,,7.5,0,0.2,17.8,2.8,7.5,6.8,,,,,,,,,2010-12-31,00:00:00,0.4
2011-01-01 08:00:00,2.5,183.8,17.7,91.3,,,,,,2.2,0,0.1,19,3.2,8,7,,,,,,,,,,,
2011-01-01 09:00:00,2.8,178.7,18,90,,,,,,12,0,0.1,22.8,3,7.2,6.2,,,,,,,,,,,
2011-01-01 10:00:00,2.5,153.5,18,89.2,,,,,,2.8,0,0.1,22.8,3.5,7.8,6.8,,,,,,,,,,,
2011-01-01 11:00:00,2.2,152.1,18,88.3,,,,,,12,0,0.2,22.8,3.2,7.5,6,,,,,,,,,,,
2011-01-01 12:00:00,2.6,169,17.8,88.5,,,,,,8,0,0.2,25,3.2,9.5,7.8,,,,,,,,,,,
2011-01-01 13:00:00,2.8,178.5,17.6,88.9,,,,,,8,0,0.2,25.8,3,7.2,6,,,,,,,,,,,
2011-01-01 14:00:00,2.8,186,18.2,86.7,,,,,,8,0,0.2,25.5,3.2,8.8,7.5,,,,,,,,,,,
2011-01-01 15:00:00,2.2,190.8,18.5,86.1,,,,,,12.8,0,0.2,22.8,4.8,10.5,8.5,,,,,,,,,,,
2011-01-01 16:00:00,2,204.2,18.9,85.1,,,,,,14.2,0,0.2,19.5,3.5,10.5,8.5,,,,,,,,,,,
2011-01-01 17:00:00,1.8,177.8,19.8,81.3,,,,,,11.5,0,0.2,18.5,2.8,8.8,7,,,,,,,,,,,
2011-01-01 18:00:00,1.5,189.5,20.1,77.7,,,,,,6,0,0.2,17.2,2,9.5,9,,,,,,,,,,,
2011-01-01 19:00:00,1.4,219,19.9,78.2,,,,,,3.2,0,0.2,14.2,3,9.8,8.5,,,,,,,,,,,
2011-01-01 20:00:00,1.7,219,19.8,78.5,,,,,,12,0,0.4,10.2,3.2,12.2,11.2,,,,,,,,,,,
2011-01-01 21:00:00,1.9,214.7,19.2,81.7,,,,,,7,0,0.5,11,2.5,10,9,,,,,,,,,,,
2011-01-01 22:00:00,3.1,208,18.9,82,,,,,,,,,14.7,2.3,7.7,6.3,,,,,,,,,,,
2011-01-01 23:00:00,3.8,199,18.6,84.1,,,,,,,0,0.2,15.2,2,8,7,,,,,,,,,,,
2011-01-01 00:00:00,2.9,197.7,18.4,84.9,,,,,,,0,0.1,17.5,1.5,5,4.5,,,,,,,,,,,
2011-01-02 01:00:00,1.8,205.2,18.2,85.6,,,,,,,0,0.1,13.2,1.8,7.5,7,,,,,,,,,,,
2011-01-02 02:00:00,1.4,222.7,18.4,85.4,,,,,,,0,0.1,12.8,1.8,7,6.2,,,,,,,,,,,
2011-01-02 03:00:00,1,184.4,18.6,83.2,,,,,,,0,0.1,12.2,1.8,5.8,4.8,,,,,,,,,,,
2011-01-02 04:00:00,1.2,216.3,18.6,83.4,,,,,,,0,0.1,12,1.5,4.8,3.8,,,,,,,,,,,
2011-01-02 05:00:00,1.3,196.1,18.5,85.5,,,,,,,0,0.1,9.5,2,7.8,7,,,,,,,,,,,
2011-01-02 06:00:00,1.7,207,18.5,86,,,,,,,0,0.2,8.8,2.2,7.5,6,,,,,,,,,,,
2011-01-02 07:00:00,2,207,18.8,84.9,,,,,,,0,0.2,9.2,2.2,9.8,7.5,,,,,,,,,,,
2011-01-02 08:00:00,1.8,183.7,19.5,81.7,,,,,,,0,0.2,9.5,3.5,11.2,7.5,,,,,,,,,,,
2011-01-02 09:00:00,2.2,174.8,20.4,77.8,,,,,,,0,0.2,11,3,8.8,6,,,,,,,,,,,
2011-01-02 10:00:00,2.5,180.3,20.8,76.2,,,,,,,0,0.2,12.5,2.2,6.8,4.8,,,,,,,,,,,
2011-01-02 11:00:00,1.8,143,21.4,77.5,,,,,,,0,0.2,13.2,2.2,8,5.8,,,,,,,,,,,
2011-01-02 12:00:00,2.3,98.5,22.7,70.9,,,,,,,0,0.2,14.8,2,5.8,4.2,,,,,,,,,,,
2011-01-02 13:00:00,2.8,73.4,22.2,73.3,,,,,,,0,0.2,13.8,2.2,5.5,3.8,,,,,,,,,,,
2011-01-02 14:00:00,2.2,121.7,19.6,84.1,,,,,,,0,0.2,11.8,3.2,10.2,7,,,,,,,,,,,
2011-01-02 15:00:00,1.9,171.8,19.4,84.9,,,,,,,0,0.2,14.5,2,6.2,4.5,,,,,,,,,,,
2011-01-02 16:00:00,2.2,189,20.5,83.1,,,,,,,0,0.2,13.8,1.8,6.2,5,,,,,,,,,,,
2011-01-02 17:00:00,2.1,175.3,20.5,80.7,,,,,,,0,0.2,12.8,2.8,8.8,6.8,,,,,,,,,,,
2011-01-02 18:00:00,1,163.5,19.6,85.1,,,,,,,0,0.2,9.5,2,9.5,8,,,,,,,,,,,
2011-01-02 19:00:00,0.7,197.3,19.4,86.5,,,,,,,0,0.2,5.2,1.5,14.5,13.5,,,,,,,,,,,
2011-01-02 20:00:00,0.7,246.8,19,88.2,,,,,,,0,0.3,2.2,1.5,16.2,15.2,,,,,,,,,,,
2011-01-02 21:00:00,0.9,262.3,19,89.7,,,,,,,0,0.4,0.2,4,23.2,18.8,,,,,,,,,,,
2011-01-02 22:00:00,0.7,261.2,18.9,89.9,,,,,,,0,0.6,0,4.8,22.5,18,,,,,,,,,,,
2011-01-02 23:00:00,0.9,187.3,18.9,89.2,,,,,,,0,0.6,0.2,6,25.5,19.5,,,,,,,,,,,
2011-01-02 00:00:00,1.7,103.5,18.4,90.6,,,,,,,0,0.5,4,2.2,17.5,15.2,,,,,,,,,,,
2011-01-03 01:00:00,0.9,147.7,18,90.9,,,,,,,,0.3,10,1.5,7.2,6.5,,,,,,,,,,,
2011-01-03 02:00:00,0.8,108.9,18,91.3,,,,,,,0,0.2,9.2,3,7.2,5.5,,,,,,,,,,,
2011-01-03 03:00:00,0.8,119.3,18,91.3,,,,,,,0,0.2,9.8,1.8,6,5.2,,,,,,,,,,,
2011-01-03 04:00:00,0.9,189.3,18,91.1,,,,,,,0,0.2,9,0.8,5.8,5.5,,,,,,,,,,,
2011-01-03 05:00:00,1.5,183.9,18.1,91.1,,,,,,,0,0.1,7,1.8,9.5,8,,,,,,,,,,,
2011-01-03 06:00:00,1.1,90.7,17.9,90.9,,,,,,,0,0.1,5,2,12.5,10.2,,,,,,,,,,,
2011-01-03 07:00:00,1,160.7,17.6,91.7,,,,,,,0,0.1,4.8,2.8,14.2,11.2,,,,,,,,,,,
2011-01-03 08:00:00,1.1,174.8,18.5,91.6,,,,,,,0,0.2,2.8,9,22.5,13.5,,,,,,,,,,,
2011-01-03 09:00:00,1.9,190.6,18.7,89.8,,,,,,,0,0.3,2.5,13.2,29,15.8,,,,,,,,,,,
2011-01-03 10:00:00,1.8,182.3,18.7,89.4,,,,,,,0,0.3,4.5,8.2,21.2,13,,,,,,,,,,,
2011-01-03 11:00:00,1.8,163.5,20.3,84.2,,,,,,,0,0.3,8.8,4.2,13.8,9.5,,,,,,,,,,,
2011-01-03 12:00:00,2.1,120.4,20.6,80.1,,,,,,,0,0.3,10.5,2.8,10.8,8,,,,,,,,,,,
2011-01-03 13:00:00,2.4,103.5,22.1,77.3,,,,,,,0,0.2,14.7,2,6,4.2,,,,,,,,,,,
2011-01-03 14:00:00,2.8,176,21.4,77.7,,,,,,,0,0.1,12,3,8.8,5.8,,,,,,,,,,,
2011-01-03 15:00:00,2.8,188.3,20.9,81.1,,,,,,,0,0.2,10.8,3.5,11.2,7.8,,,,,,,,,,,
2011-01-03 16:00:00,2.9,183.5,22,77.5,,,,,,,0,0.2,12.8,3.5,11.5,7.8,,,,,,,,,,,
2011-01-03 17:00:00,2.4,189,23.2,71.8,,,,,,,0,0.2,13,4.5,14.2,9.8,,,,,,,,,,,
2011-01-03 18:00:00,2.1,183.5,23.6,67.9,,,,,,,0,0.2,10.2,3.2,15.2,11.8,,,,,,,,,,,
2011-01-03 19:00:00,2.7,194.9,19.6,84.6,,,,,,,0,0.3,9.5,2,10.5,8.8,,,,,,,,,,,
2011-01-03 20:00:00,2.7,208.2,19,87.9,,,,,,,0,0.2,6.8,1.8,13.8,11.8,,,,,,,,,,,
2011-01-03 21:00:00,2.9,224.3,19.3,88.2,,,,,,,0,0.3,3.5,1.8,15.5,14,,,,,,,,,,,
2011-01-03 22:00:00,3.3,211.2,20,82.9,,,,,,,0,0.4,9,1,8.5,7.8,,,,,,,,,,,
2011-01-03 23:00:00,2.8,212.5,20,80.5,,,,,,,0.3,0.2,10.2,1.5,7,5.2,,,,,,,,,,,
2011-01-03 00:00:00,2.3,200.3,20.1,81.3,,,,,,,0,0.2,3.5,1.3,14,12.7,,,,,,,,,,,
2011-01-04 01:00:00,1.4,146.8,19.4,86.9,,,,,,,0,0.2,4,1.8,11,9.2,,,,,,,,,,,
2011-01-04 02:00:00,1,135.4,19.3,89.2,,,,,,,0,0.2,5.8,,,,,,,,,,,,,,
2011-01-04 03:00:00,0.8,181,19,89.9,,,,,,,0,0.1,5.2,,,,,,,,,,,,,,
2011-01-04 04:00:00,1.7,191.7,19.1,90.3,,,,,,,0,0.1,5.5,,,,,,,,,,,,,,
2011-01-04 05:00:00,1.5,175.4,19.2,89.4,,,,,,,0,0.1,4.2,,,,,,,,,,,,,,
2011-01-04 06:00:00,1.7,196,19.3,89.2,,,,,,,0,0.1,3.2,,,,,,,,,,,,,,
2011-01-04 07:00:00,1.9,202.2,19.4,88.8,,,,,,,0,0.2,2,,,,,,,,,,,,,,
2011-01-04 08:00:00,2.3,195.3,20.2,85.6,,,,,,,0,0.3,2.5,,,,,,,,,,,,,,
2011-01-04 09:00:00,2.8,182,21.5,78.4,,,,,,,0,0.3,5,,,,,,,,,,,,,,
2011-01-04 10:00:00,2.2,136,20.1,84.3,,,,,,,0,0.3,7.5,,,,,,,,,,,,,,
2011-01-04 11:00:00,2.3,110.3,20.7,81.4,,,,,,,0,0.2,12.5,,,,,,,,,,,,,,
2011-01-04 12:00:00,3.4,91.8,21.6,79.3,,,,,,20,0,0.2,16.2,2,6,4,,,,,,,,,,,
2011-01-04 13:00:00,3.5,129.2,23.7,67,,,,,,16.5,0,0.2,13.8,2.2,4.2,2.8,,,,,,,,,,,
2011-01-04 14:00:00,3.3,112,24,64.2,,,,,,4.5,0,0.1,12.5,2,4.8,3,,,,,,,,,,,
2011-01-04 15:00:00,2.9,113,23.9,64.1,,,,,,2,0,0.1,10.8,5,10,5.5,,,,,,,,,,,
2011-01-04 16:00:00,2,91,20.7,83.6,,,,,,2.5,0,0.1,9.5,2.5,9.2,7.2,,,,,,,,,,,
2011-01-04 17:00:00,2.6,153.1,20.8,80.2,,,,,,2,0,0.1,9.5,4,10.5,6.8,,,,,,,,,,,
2011-01-04 18:00:00,2.5,171.5,20.1,84,,,,,,6.2,0,0.2,7.2,3,12.2,9.2,,,,,,,,,,,
2011-01-04 19:00:00,1.4,137.9,19.9,85.1,,,,,,14.8,0,0.2,5.5,2.2,12.8,10.8,,,,,,,,,,,
2011-01-04 20:00:00,1.4,192,19.7,85.8,,,,,,16.5,0,0.2,4.8,2,12.5,11,,,,,,,,,,,
2011-01-04 21:00:00,1.8,189.8,19.6,85.5,,,,,,17.2,0,0.2,2,2.5,18.2,15.8,,,,,,,,,,,
2011-01-04 22:00:00,2,191.8,19.5,85.6,,,,,,9,0,0.2,2.2,2.8,18,15.5,,,,,,,,,,,
2011-01-04 23:00:00,1.8,198.5,19.5,85.5,,,,,,10.8,0,0.2,1.8,2.8,19,16.5,,,,,,,,,,,
2011-01-04 00:00:00,1.3,202.7,19.7,84.5,,,,,,19.5,0,0.2,3.2,1.8,14.2,13,,,,,,,,,,,
2011-01-05 01:00:00,1.2,208.5,19.8,84.4,,,,,,29.8,0,0.2,3,1.8,15,13.5,,,,,,,,,,,
2011-01-05 02:00:00,1.6,208.5,20.1,81.6,,,,,,12.2,0,0.2,4,2.2,13.5,11.2,,,,,,,,,,,
2011-01-05 03:00:00,1.6,199,19.9,82.1,,,,,,33.2,0,0.2,3.8,1.8,11.8,10,,,,,,,,,,,
2011-01-05 04:00:00,1.7,209.6,19.6,84.4,,,,,,18.5,0,0.1,5.8,1.5,8.8,7.2,,,,,,,,,,,
