Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Precipitação,Velocidade do Vento,Radiação Solar,Umidade Relativa
2016-01-01 00:30:00,136.76,35.09,2.43,0.0,43.0,0.3,22.22,214.01,0.0,,0.6,1.72,86.05
2016-01-01 01:30:00,101.28,30.32,2.91,0.0,34.0,0.11,21.9,165.33,0.0,,0.56,1.34,87.31
2016-01-01 02:30:00,93.56,24.35,3.69,0.0,32.0,0.05,21.48,169.34,0.0,,0.57,1.4,88.72
2016-01-01 03:30:00,86.77,19.77,2.86,0.0,17.0,0.04,20.98,239.27,0.0,,0.56,2.16,91.05
2016-01-01 04:30:00,64.69,41.25,4.65,0.0,32.0,0.05,22.12,164.02,0.0,,1.26,2.12,86.14
2016-01-01 05:30:00,43.01,35.24,8.02,0.0,18.0,0.03,22.42,164.69,0.0,,1.14,18.52,84.48
2016-01-01 06:30:00,27.02,28.48,13.85,0.0,20.0,0.02,23.5,183.41,0.0,,0.89,115.05,80.8
2016-01-01 07:30:00,17.53,26.63,32.26,0.0,9.0,0.01,26.93,353.06,0.0,,0.79,303.98,66.13
2016-01-01 08:30:00,25.28,16.17,57.59,0.0,5.0,,28.75,28.71,0.0,,1.29,609.24,57.27
2016-01-01 09:30:00,22.19,7.11,69.8,0.0,2.0,0.02,29.81,22.73,0.0,,1.81,814.45,54.46
2016-01-01 10:30:00,28.43,7.71,71.7,0.0,,,30.51,15.56,0.0,,2.6,660.95,49.9
2016-01-01 11:30:00,16.29,13.57,72.06,0.0,,0.04,30.91,332.61,0.0,,2.59,537.2,48.89
2016-01-01 12:30:00,12.35,11.62,75.49,0.0,6.0,,31.27,353.29,0.0,,2.02,659.24,47.8
2016-01-01 13:30:00,8.12,5.55,75.21,0.0,4.0,,32.99,28.72,0.0,,2.43,840.9,41.37
2016-01-01 14:30:00,10.76,8.26,66.02,0.0,,,33.39,311.71,0.0,,3.01,689.44,39.2
2016-01-01 15:30:00,6.17,4.23,69.94,0.0,1.0,,33.85,298.1,0.0,,2.47,732.32,38.44
2016-01-01 16:30:00,23.8,4.83,73.06,0.0,4.0,,31.78,148.46,0.0,,2.81,392.01,44.89
2016-01-01 17:30:00,16.01,8.19,63.57,2.3,5.0,,28.17,156.76,0.0,,2.53,178.98,62.34
2016-01-01 18:30:00,16.92,18.89,44.32,2.2,9.0,,27.4,174.35,0.0,,0.96,15.83,66.07
2016-01-01 19:30:00,12.11,30.8,16.22,1.6,9.0,,25.85,165.2,0.0,,0.74,0.64,75.94
2016-01-01 20:30:00,40.86,35.93,10.58,1.0,6.0,0.09,25.12,196.48,0.0,,0.44,1.35,79.35
2016-01-01 21:30:00,52.17,37.05,26.88,0.6,7.0,0.03,25.72,201.0,0.0,,0.79,1.14,72.12
2016-01-01 22:30:00,47.3,31.64,18.87,0.4,7.0,0.13,24.3,192.12,0.0,,0.37,0.63,79.34
2016-01-01 23:30:00,44.59,16.45,11.62,0.2,9.0,0.06,23.61,184.05,0.0,,0.61,1.12,82.51
2016-01-02 00:30:00,36.27,22.7,10.44,0.1,,0.23,22.83,166.54,0.0,,0.55,1.21,86.3
2016-01-02 01:30:00,20.4,15.56,8.23,0.1,,0.1,22.12,153.6,0.0,,0.55,1.01,88.89
2016-01-02 02:30:00,36.76,10.21,11.07,0.1,7.0,0.11,21.99,165.86,0.0,,0.85,2.36,88.66
2016-01-02 03:30:00,23.41,12.82,10.0,0.1,5.0,0.11,22.35,148.15,0.0,,1.06,2.9,87.78
2016-01-02 04:30:00,16.01,18.67,44.77,0.2,4.0,0.07,22.58,134.99,1.2,,1.87,3.61,79.39
2016-01-02 05:30:00,25.97,13.26,27.25,0.0,,0.13,21.7,145.6,0.0,,0.61,15.42,88.55
2016-01-02 06:30:00,13.34,12.63,16.0,0.0,,0.19,22.64,161.47,0.0,,0.41,103.22,88.69
2016-01-02 07:30:00,17.53,16.67,28.0,0.1,,0.26,25.82,158.73,0.0,,0.87,258.77,74.55
2016-01-02 08:30:00,17.85,49.53,57.42,0.4,14.0,0.39,27.95,313.23,0.0,,0.98,402.94,67.21
2016-01-02 09:30:00,19.41,40.61,72.29,0.4,9.0,0.33,30.85,93.83,0.0,,1.89,813.56,52.73
2016-01-02 10:30:00,27.78,17.16,77.7,0.7,4.0,0.12,31.72,47.0,0.0,,2.22,776.07,46.77
